areaType,areaName,areaCode,date,newAdmissionsWeekly,cumAdmissions
nation,England,E92000001,2021-10-06,,470797
nation,England,E92000001,2021-10-05,,470165
nation,England,E92000001,2021-10-04,,469507
nation,England,E92000001,2021-10-03,,468880
nation,England,E92000001,2021-10-02,,468303
nation,England,E92000001,2021-10-01,3965,467754
nation,England,E92000001,2021-09-30,,467234
nation,England,E92000001,2021-09-29,,466682
nation,England,E92000001,2021-09-28,,466057
nation,England,E92000001,2021-09-27,,465461
nation,England,E92000001,2021-09-26,,464844
nation,England,E92000001,2021-09-25,,464309
nation,England,E92000001,2021-09-24,4046,463789
nation,England,E92000001,2021-09-23,,463232
nation,England,E92000001,2021-09-22,,462655
nation,England,E92000001,2021-09-21,,462083
nation,England,E92000001,2021-09-20,,461481
nation,England,E92000001,2021-09-19,,460875
nation,England,E92000001,2021-09-18,,460303
nation,England,E92000001,2021-09-17,4599,459743
